0,0,0,0,0,0,0,0,0,0
0,1.3506,2.5317,3.4009,3.86,3.86,3.4009,2.5317,1.3506,0
0,2.8754,5.3829,7.2204,8.1872,8.1872,7.2204,5.3829,2.8754,0
0,4.7803,8.9221,11.9282,13.4969,13.4969,11.9282,8.9221,4.7803,0
0,7.3501,13.6324,18.1019,20.3958,20.3958,18.1019,13.6324,7.3501,0
0,11.0512,20.2251,26.491,29.6042,29.6042,26.491,20.2251,11.0512,0
0,16.8074,29.8678,38.0718,41.9102,41.9102,38.0718,29.8678,16.8074,0
0,26.9162,44.6171,53.9897,57.9553,57.9553,53.9897,44.6171,26.9162,0
0,48.6494,67.6767,75.0114,77.7388,77.7388,75.0114,67.6767,48.6494,0
0,100,100,100,100,100,100,100,100,0
