N Proc,Time,efficiency
1,2714.756,100
2,3903.01,69.5554456688556
4,4072.876,66.6545212768569
8,4063.854,66.802498318099
16,4943.041,54.920766386522
32,6521.014,41.6308874662744
64,6977.772,38.9057710684729
